country,cities
IDN,"Denpasar, Surabaya, Jogyakarta, Bandung, Jakarta, Depok, Mataram, Palangkaraya, Malang"
SGP,"Singapore"
CHE,"Geneva, Lausanne, Montreux, Bern, Interlaken, Zurich, Lauturbrunnen, Grinderwald, Zermatt, Randa, Visp, Lucerne, Rheinfallquai"
FRA,"Thoiry, Saint-genis, Annecy, Paris"
VAT,"Vatican"
ITA,"Milan, Venice, Rome"
ISL,"Reykjavik, Vik, Hofn, Egilsstaðir, Mývatn, Akureyri, Hvammstangi"
GBR,"London, Oxford, Watford"
AUT,"Vienna"
CZE,"Prague"
HUN,"Budapest"
SWE,"Stockholm"
FIN,"Helsinki, Espoo, Ivalo, Inari, Rovaniemi"
