country,cities
IDN,"Denpasar, Badung, Gianyar, Klungkung, Karangasem, Bangli, Buleleng, Surabaya, Jogyakarta, Bandung, Jakarta, Depok, Mataram, Palangkaraya, Malang"
SGP,"Singapore"
CHE,"Geneva, Lausanne, Montreux, Bern, Interlaken, Zurich, Lauturbrunnen, Grinderwald, Zermatt, Locarno, Randa, Visp, Lucerne, Rheinfallquai"
FRA,"Thoiry, Saint-genis, Annecy, Paris"
VAT,"Vatican"
ITA,"Milan, Venice, Rome"
ISL,"Reykjavik, Vik, Hofn, Egilsstaðir, Mývatn, Akureyri, Hvammstangi"
GBR,"London, Oxford, Watford"
AUT,"Vienna"
CZE,"Prague"
HUN,"Budapest"
SWE,"Stockholm"
FIN,"Helsinki, Espoo, Ivalo, Inari, Rovaniemi"
NLD,"Amsterdam, Haarlem, Lisse, Rotterdam, Kinderdijk"
JPN,"Osaka,Kyoto,Nara,Tokyo"
DEU,"Berlin,Hamburg"
